text,true_emotion,predicted_emotion
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
@hesham786 that's the spirit ,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany ,sadness,anger
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,sadness,joy
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,anger
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,fear
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,joy
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
This world has some serious issues we should all go to therapy,sadness,sadness
